Structure Number1,GPS Lat,GPS Long,Wood Species2,Preservative3,Moisture %,Chlorine %,Sawdust Program wt.% Pres.,Sawdust Progrqm PCF,Comments
18 (2),45.41681,-63.27411,RP,Penta,12.3,,,-1,Creo
18 (3),45.41681,-63.27411,RP,Boron,9.9,,,-1,Creo
19 (1),45.41717,-63.26914,DF,Penta,9.8,,0.797,0.224,
19 (2),45.41717,-63.26914,DF,Penta,8.9,,0.637,0.179,
20 (1),45.41703,-63.27403,RP,Boron,10.4,,0.03,0.08,
20 (2),45.41703,-63.27403,RP,Boron,11.5,,0.018,0.005,
21 (1),45.41775,-63.27042,RP,Penta,10.6,,0.983,0.239,
21 (2),45.41775,-63.27042,RP,Penta,10.4,,0.016,0.004,
21 (3),45.41775,-63.27042,RP,Penta,10.5,,0.001,0,
22 (1),45.41917,-63.26625,RP,Boron,8.1,,,-1,Creo
22 (2),45.41917,-63.26625,RP,Boron,8.1,,,-1,Creo
23 (1),45.42014,-63.26314,DF,Penta,11.1,,0.034,0.01,
23 (2),45.42014,-63.26314,DF,Penta,11,,0.01,0.003,
24 (1),45.42133,-63.25922,DF,Penta,10.3,,0.833,0.234,
24 (2),45.42133,-63.25922,DF,Penta,8.3,,1.455,0.409,
25 (1),45.42258,-63.25564,DF,Penta,8.4,,0.803,0.226,
25 (2),45.42258,-63.25564,DF,Penta,8.1,,0.702,0.197,
26 (1),45.42433,-63.25011,DF,Penta,9.2,,0.191,0.054,
26 (2),45.42433,-63.25011,DF,Penta,8.4,,0.138,0.039,
27 (1),45.426,-63.25678,DF,Penta,8.3,,0.011,0.003,
27 (2),45.426,-63.25678,DF,Penta,8.6,,1.275,0.358,
28 (1),45.42711,-63.25297,DF,Penta,8.3,,1.121,0.315,
28 (2),45.42711,-63.25297,DF,Penta,11.4,,,-1,Creo
29 (1),45.41711,-63.24925,DF,Penta,8.1,,0.472,0.133,
29 (2),45.41711,-63.24925,DF,Penta,8.1,,0.708,0.199,
30 (1),45.41828,-63.24561,DF,Penta,8.3,,0.044,0.012,
30 (2),45.41828,-63.24561,DF,Penta,8.2,,0.112,0.031,
31 (1),45.41821 N,63.23879 W,DF,Penta,9.1,,1.399,0.393,
31 (2),45.41821 N,63.23879 W,DF,Penta,10.4,,0.756,0.255,
32 (1),45.41910 N,63.23610 W,RP,Boron,8.1,,0.907,0.255,
32 (2),45.41910 N,63.23610 W,RP,Penta,8,,,-1,Creo
33 (1),45.41967 N,63.23419 W,RP,Penta,10.5,,1.272,0.309,
33 (2),45.41967 N,63.23419 W,RP,Penta,8.4,,1.167,0.284,
34 (1),45.42044 N,63.23168 W,RP,Penta,6.6,,0.5,0.121,
34 (2),45.42044 N,63.23168 W,RP,Penta,6.2,,0.2,0.049,
35 (1),45.42119 N,63.22922 W,RP,Penta,6.8,,0.719,0.175,
35 (2),45.42119 N,63.22922 W,RP,Penta,8.5,,1.706,0.414,
36 (1),45.42186 N,63.22677 W,RP,Penta,6.5,,0.219,0.053,
36 (2),45.42186 N,63.22677 W,RP,Penta,6.5,,0.667,0.162,
37 (1),45.42281 N,63.22422 W,DF,Penta,7.3,,0.954,0.232,
37 (2),45.42281 N,63.22422 W,DF,Penta,6.3,,1.178,0.286,
38 (1),45.42338 N,63.22233 W,RP,Penta,9,,1.25,0.304,
38 (2),45.42338 N,63.22233 W,RP,Penta,7,,1.47,0.357,
39 (1),45.42419 N,63.21985 W,RP,Penta,8.6,,0.094,0.023,
39 (2),45.42419 N,63.21985 W,RP,Penta,7.2,,-0.026,-0.006,Negative despite being run on low range calibration
40 (1),45.42478 N,63.21795 W,RP,Penta,6.1,,0.065,0.018,
40 (2),45.42478 N,63.21795 W,RP,Penta,6.5,,0.435,0.122,
41 (1),45.42574 N,63.21481 W,RP,Penta,7.1,,0.034,0.01,
41 (2),45.42574 N,63.21481 W,RP,Penta,7,,0.002,0.001,
42 (1),45.42574 N,63.21481 W,RP,Penta,8.2,,,-1,Creo
42 (2),45.42574 N,63.21481 W,RP,Penta,9.1,,-0.002,0,Negative despite being run on low range calibration
43 (1),45.42684 N,63.21126 W,RP,Penta,18.3,,0.107,0.026,
43 (2),45.42684 N,63.21126 W,RP,Penta,21.4,,0.333,0.081,
